resourceId,driverName,vehiclePlate,type,homeLocationId,capacity,availabilityStatus
1,Kwame Nkrumah,GR-1234-21,CAMPUS_TAXI,2,4,AVAILABLE
2,Kofi Annan,GR-5678-22,CAMPUS_TAXI,3,4,AVAILABLE
3,Ama Serwaa,GW-9101-20,CAMPUS_TAXI,1,4,DISPATCHED
4,Yaw Mensah,GE-1122-19,CAMPUS_TAXI,4,4,AVAILABLE
5,Abena Osei,GR-3344-21,CAMPUS_TAXI,5,4,AVAILABLE
6,Kwesi Appiah,GT-5566-23,EMERGENCY_VAN,1,6,AVAILABLE
7,Efua Sutherland,GR-7788-21,CAMPUS_TAXI,6,4,OFF_DUTY
8,Kojo Antwi,GW-9900-22,CAMPUS_TAXI,2,4,AVAILABLE
9,Yaa Asantewaa,GE-2233-20,CAMPUS_TAXI,7,4,AVAILABLE
10,Kwabena Yeboah,GR-4455-21,CAMPUS_TAXI,8,4,DISPATCHED
11,Akosua Agyapong,GT-6677-22,CAMPUS_TAXI,9,4,AVAILABLE
12,Yaw Dabo,GW-8899-23,CAMPUS_TAXI,10,4,AVAILABLE
13,Akua GMB,GE-1234-18,CAMPUS_TAXI,11,4,AVAILABLE
14,Kweku Baako,GR-5678-19,EMERGENCY_VAN,40,8,AVAILABLE
15,Adwoa Smart,GT-9012-20,CAMPUS_TAXI,12,4,AVAILABLE
16,Kwame Despite,GW-3456-21,CAMPUS_TAXI,13,4,OFF_DUTY
17,Aba Andam,GE-7890-22,CAMPUS_TAXI,14,4,AVAILABLE
18,Kofi Kinaata,GR-1357-23,CAMPUS_TAXI,15,4,DISPATCHED
19,Afia Schwarzenegger,GT-2468-21,CAMPUS_TAXI,16,4,AVAILABLE
20,Sarkodie,GW-3690-22,CAMPUS_TAXI,17,4,AVAILABLE
21,Shatta Wale,GE-1470-20,CAMPUS_TAXI,18,4,AVAILABLE
22,Stonebwoy,GR-2580-21,CAMPUS_TAXI,19,4,AVAILABLE
23,Kuami Eugene,GT-3691-22,CAMPUS_TAXI,20,4,OFF_DUTY
24,KiDi,GW-4702-23,CAMPUS_TAXI,21,4,AVAILABLE
25,King Promise,GE-5813-21,CAMPUS_TAXI,22,4,AVAILABLE
26,Gyakie,GR-6924-22,EMERGENCY_VAN,1,6,AVAILABLE
27,Wendy Shay,GT-7035-20,CAMPUS_TAXI,23,4,DISPATCHED
28,Diana Hamilton,GW-8146-21,CAMPUS_TAXI,24,4,AVAILABLE
29,Joe Mettle,GE-9257-22,CAMPUS_TAXI,25,4,AVAILABLE
30,Ohemaa Mercy,GR-0368-23,CAMPUS_TAXI,2,4,AVAILABLE
