requestId,requesterName,requesterIndexNumber,userCategory,pickupLocationId,destinationLocationId,status,submissionTimestamp,waitTimeMinutes,isMedicalUrgency
1,Kofi Mensah,10100001,STUDENT,2,12,PENDING,1690000000000,10.5,false
2,Ama Serwaa,10100002,STAFF,4,21,PENDING,1690000001000,5.0,false
3,Kwesi Appiah,10100003,EMERGENCY,6,1,DISPATCHED,1690000002000,2.0,true
4,Abena Osei,10100004,DISABLED,8,14,PENDING,1690000003000,15.0,false
5,Yaw Dabo,10100005,STUDENT,10,24,PENDING,1690000004000,8.5,false
6,Akosua Agyapong,10100006,STAFF,12,50,COMPLETED,1690000005000,0.0,false
7,Kwabena Yeboah,10100007,STUDENT,14,33,PENDING,1690000006000,12.0,false
8,Yaa Asantewaa,10100008,EMERGENCY,16,1,PENDING,1690000007000,1.5,true
9,Kojo Antwi,10100009,DISABLED,18,37,PENDING,1690000008000,20.0,false
10,Efua Sutherland,10100010,STUDENT,20,13,DISPATCHED,1690000009000,3.0,false
11,Kwame Nkrumah,10100011,STAFF,22,2,PENDING,1690000010000,7.5,false
12,Adwoa Smart,10100012,STUDENT,24,9,PENDING,1690000011000,11.0,false
13,Kweku Baako,10100013,EMERGENCY,26,1,PENDING,1690000012000,0.5,true
14,Akua GMB,10100014,DISABLED,28,44,PENDING,1690000013000,18.0,false
15,Yaw Mensah,10100015,STUDENT,30,19,DISPATCHED,1690000014000,4.0,false
16,Ama Boahemaa,10100016,STAFF,32,29,PENDING,1690000015000,6.5,false
17,Kofi Annan,10100017,STUDENT,34,5,PENDING,1690000016000,9.0,false
18,Afia Schwarzenegger,10100018,EMERGENCY,36,1,PENDING,1690000017000,2.5,true
19,Sarkodie,10100019,DISABLED,38,41,PENDING,1690000018000,16.0,false
20,Shatta Wale,10100020,STUDENT,40,11,DISPATCHED,1690000019000,5.5,false
21,Stonebwoy,10100021,STAFF,42,27,PENDING,1690000020000,8.0,false
22,Kuami Eugene,10100022,STUDENT,44,7,PENDING,1690000021000,13.0,false
23,KiDi,10100023,EMERGENCY,46,1,PENDING,1690000022000,1.0,true
24,King Promise,10100024,DISABLED,48,22,PENDING,1690000023000,19.0,false
25,Gyakie,10100025,STUDENT,50,15,DISPATCHED,1690000024000,3.5,false
26,Wendy Shay,10100026,STAFF,1,39,PENDING,1690000025000,7.0,false
27,Diana Hamilton,10100027,STUDENT,3,25,PENDING,1690000026000,10.0,false
28,Joe Mettle,10100028,EMERGENCY,5,1,PENDING,1690000027000,0.8,true
29,Ohemaa Mercy,10100029,DISABLED,7,30,PENDING,1690000028000,17.0,false
30,Kwesi Arthur,10100030,STUDENT,9,17,DISPATCHED,1690000029000,4.5,false
31,Medikal,10100031,STAFF,11,48,PENDING,1690000030000,6.0,false
32,Fella Makafui,10100032,STUDENT,13,8,PENDING,1690000031000,14.0,false
33,Hajia Bintu,10100033,EMERGENCY,15,1,PENDING,1690000032000,2.2,true
34,Kalybos,10100034,DISABLED,17,20,PENDING,1690000033000,21.0,false
35,Ahuofe Patri,10100035,STUDENT,19,34,DISPATCHED,1690000034000,5.0,false
36,Bismark The Joke,10100036,STAFF,21,46,PENDING,1690000035000,9.5,false
37,Clemento Suarez,10100037,STUDENT,23,4,PENDING,1690000036000,11.5,false
38,Lil Win,10100038,EMERGENCY,25,1,PENDING,1690000037000,1.2,true
39,Akrobeto,10100039,DISABLED,27,16,PENDING,1690000038000,14.5,false
40,Nana Ama McBrown,10100040,STUDENT,29,38,DISPATCHED,1690000039000,2.8,false
41,Emelia Brobbey,10100041,STAFF,31,10,PENDING,1690000040000,8.2,false
42,Jackie Appiah,10100042,STUDENT,33,42,PENDING,1690000041000,12.5,false
43,Nadia Buari,10100043,EMERGENCY,35,1,PENDING,1690000042000,0.6,true
44,Yvonne Nelson,10100044,DISABLED,37,28,PENDING,1690000043000,19.5,false
45,Yvonne Okoro,10100045,STUDENT,39,6,DISPATCHED,1690000044000,4.2,false
46,Juliet Ibrahim,10100046,STAFF,41,32,PENDING,1690000045000,5.8,false
47,Joselyn Dumas,10100047,STUDENT,43,18,PENDING,1690000046000,10.8,false
48,Martha Ankomah,10100048,EMERGENCY,45,1,PENDING,1690000047000,1.8,true
49,Roselyn Ngissah,10100049,DISABLED,47,40,PENDING,1690000048000,16.5,false
50,Salma Mumin,10100050,STUDENT,49,26,DISPATCHED,1690000049000,3.2,false
51,Moesha Boduong,10100051,STAFF,2,12,PENDING,1690000050000,7.2,false
52,Hajia4Reall,10100052,STUDENT,4,21,PENDING,1690000051000,13.5,false
53,Akuapem Poloo,10100053,EMERGENCY,6,1,PENDING,1690000052000,0.9,true
54,Tracey Boakye,10100054,DISABLED,8,14,PENDING,1690000053000,20.5,false
55,Mzbel,10100055,STUDENT,10,24,DISPATCHED,1690000054000,6.2,false
56,Delay,10100056,STAFF,12,50,PENDING,1690000055000,9.2,false
57,Berla Mundi,10100057,STUDENT,14,33,PENDING,1690000056000,11.2,false
58,Serwaa Amihere,10100058,EMERGENCY,16,1,PENDING,1690000057000,2.1,true
59,Nana Aba Anamoah,10100059,DISABLED,18,37,PENDING,1690000058000,15.5,false
60,Bridget Otoo,10100060,STUDENT,20,13,DISPATCHED,1690000059000,4.8,false
61,Anita Akuffo,10100061,STAFF,22,2,PENDING,1690000060000,6.8,false
62,Cookietee,10100062,STUDENT,24,9,PENDING,1690000061000,14.5,false
63,Giovani Caleb,10100063,EMERGENCY,26,1,PENDING,1690000062000,1.4,true
64,Lexis Bill,10100064,DISABLED,28,44,PENDING,1690000063000,18.5,false
65,KOD,10100065,STUDENT,30,19,DISPATCHED,1690000064000,5.2,false
66,Abeiku Santana,10100066,STAFF,32,29,PENDING,1690000065000,8.8,false
67,Kwame Sefa Kayi,10100067,STUDENT,34,5,PENDING,1690000066000,10.2,false
68,Bernard Avle,10100068,EMERGENCY,36,1,PENDING,1690000067000,0.7,true
69,Kojo Yankson,10100069,DISABLED,38,41,PENDING,1690000068000,17.5,false
70,Evans Mensah,10100070,STUDENT,40,11,DISPATCHED,1690000069000,3.8,false
71,Samson Lardy,10100071,STAFF,42,27,PENDING,1690000070000,7.8,false
72,Gary Al-Smith,10100072,STUDENT,44,7,PENDING,1690000071000,12.2,false
73,Joyceline Dumas,10100073,EMERGENCY,46,1,PENDING,1690000072000,2.4,true
74,Kafui Dey,10100074,DISABLED,48,22,PENDING,1690000073000,19.2,false
75,Gifty Anti,10100075,STUDENT,50,15,DISPATCHED,1690000074000,4.4,false
76,Paul Adom Otchere,10100076,STAFF,1,39,PENDING,1690000075000,9.8,false
77,Osei Kwame Despite,10100077,STUDENT,3,25,PENDING,1690000076000,11.8,false
78,Ernest Ofori Sarpong,10100078,EMERGENCY,5,1,PENDING,1690000077000,1.1,true
79,Ibrahim Mahama,10100079,DISABLED,7,30,PENDING,1690000078000,16.2,false
80,Kennedy Agyapong,10100080,STUDENT,9,17,DISPATCHED,1690000079000,5.4,false
81,John Mahama,10100081,STAFF,11,48,PENDING,1690000080000,6.4,false
82,Nana Akufo-Addo,10100082,STUDENT,13,8,PENDING,1690000081000,13.2,false
83,Bawumia,10100083,EMERGENCY,15,1,PENDING,1690000082000,2.6,true
84,Alan Kyerematen,10100084,DISABLED,17,20,PENDING,1690000083000,21.5,false
85,Kofi Adams,10100085,STUDENT,19,34,DISPATCHED,1690000084000,3.6,false
86,Asiedu Nketia,10100086,STAFF,21,46,PENDING,1690000085000,8.4,false
87,Sammy Gyamfi,10100087,STUDENT,23,4,PENDING,1690000086000,10.4,false
88,Kojo Oppong Nkrumah,10100088,EMERGENCY,25,1,PENDING,1690000087000,1.3,true
89,Ursula Owusu,10100089,DISABLED,27,16,PENDING,1690000088000,14.2,false
90,Shirley Ayorkor,10100090,STUDENT,29,38,DISPATCHED,1690000089000,5.6,false
91,Matthew Opoku Prempeh,10100091,STAFF,31,10,PENDING,1690000090000,7.4,false
92,Adwoa Safo,10100092,STUDENT,33,42,PENDING,1690000091000,12.4,false
93,Zanetor Rawlings,10100093,EMERGENCY,35,1,PENDING,1690000092000,0.4,true
94,Sam George,10100094,DISABLED,37,28,PENDING,1690000093000,18.2,false
95,Afenyo Markin,10100095,STUDENT,39,6,DISPATCHED,1690000094000,4.6,false
96,Haruna Iddrisu,10100096,STAFF,41,32,PENDING,1690000095000,9.4,false
97,Muntaka Mubarak,10100097,STUDENT,43,18,PENDING,1690000096000,11.4,false
98,James Gyakye Quayson,10100098,EMERGENCY,45,1,PENDING,1690000097000,2.8,true
99,Osei Kyei Mensah,10100099,DISABLED,47,40,PENDING,1690000098000,17.2,false
100,Alban Bagbin,10100100,STUDENT,49,26,DISPATCHED,1690000099000,3.4,false
101,Kofi Mensah2,10100101,STUDENT,2,12,PENDING,1690000100000,10.5,false
102,Ama Serwaa2,10100102,STAFF,4,21,PENDING,1690000101000,5.0,false
103,Kwesi Appiah2,10100103,EMERGENCY,6,1,DISPATCHED,1690000102000,2.0,true
104,Abena Osei2,10100104,DISABLED,8,14,PENDING,1690000103000,15.0,false
105,Yaw Dabo2,10100105,STUDENT,10,24,PENDING,1690000104000,8.5,false
106,Akosua Agyapong2,10100106,STAFF,12,50,COMPLETED,1690000105000,0.0,false
