userId,fullName,userType,email,phone,homeLocationId,hasDisability
1,Kofi Mensah,STUDENT,kofi.mensah@st.ug.edu.gh,+233 24 100 2001,4,0
2,Ama Asante,STUDENT,ama.asante@st.ug.edu.gh,+233 20 100 2002,8,1
3,Kwame Appiah,STUDENT,kwame.appiah@st.ug.edu.gh,+233 27 100 2003,5,0
4,Dr. Abena Osei,FACULTY,abena.osei@ug.edu.gh,+233 54 100 2004,3,0
5,Prof. Ernest Aryeetey,FACULTY,e.aryeetey@ug.edu.gh,+233 26 100 2005,6,0
6,Esi Boateng,STAFF,esi.boateng@ug.edu.gh,+233 24 100 2006,7,0
7,Yaa Asantewaa,STUDENT,yaa.asantewaa@st.ug.edu.gh,+233 20 100 2007,9,0
8,Kweku Addo,STUDENT,kweku.addo@st.ug.edu.gh,+233 27 100 2008,11,0
9,Akosua Agyapong,STUDENT,akosua.a@st.ug.edu.gh,+233 54 100 2009,10,1
10,Yaw Osei,STUDENT,yaw.osei@st.ug.edu.gh,+233 24 100 2010,33,0
11,Efua Sutherland,STUDENT,efua.s@st.ug.edu.gh,+233 20 100 2011,34,0
12,Kofi Annan,STAFF,kofi.annan@ug.edu.gh,+233 27 100 2012,50,0
13,Chief Inspector John Mensah,GUEST,j.mensah@police.gov.gh,+233 24 888 9911,16,0
14,Dr. Mary Hopkins,GUEST,m.hopkins@oxford.ac.uk,+233 55 222 3344,14,0
15,Ing. Kwame Baah,GUEST,k.baah@ecg.com.gh,+233 27 333 4455,20,0
16,Driver Kweku Mensah,DRIVER,kweku.driver@ugdispatch.gh,+233 24 123 4567,4,0
17,Driver Emmanuel Ofori,DRIVER,emmanuel.driver@ugdispatch.gh,+233 20 987 6543,12,0
18,Driver Yaw Boateng,DRIVER,yaw.driver@ugdispatch.gh,+233 27 555 6677,1,0
